#NAME?,RF AUSTRIA GVT BMK BID YLD 10Y - RED. YIELD,RF BELGIUM GVT BMK BID YLD 10Y - RED. YIELD,RF CYPRUS GVT BMK BID YLD 10Y - RED. YIELD,RF GERMANY GVT BMK BID YLD 10Y - RED. YIELD,RF SPAIN GVT BMK BID YLD 10Y - RED. YIELD,RF FINLAND GVT BMK BID YLD 10Y - RED. YIELD,RF FRANCE GVT BMK BID YLD 10Y - RED. YIELD,RF GREECE GVT BMK BID YLD 10Y - RED. YIELD,RF IRELAND GVT BMK BID YLD 10Y - RED. YIELD,RF ITALY GVT BMK BID YLD 10Y - RED. YIELD,RF LITHUANIA GVT BMK BID YLD 10Y - RED. YIELD,#ERROR,RF LATVIA GVT BMK BID YLD 10Y DISC - RED. YIELD,RF MALTA GVT BMK BID YLD 10Y - RED. YIELD,RF NETHERLANDS GVT BMK BID YLD 10Y - RED. YIELD,RF PORTUGAL GVT BMK BID YLD 10Y - RED. YIELD,RF SLOVENIA GVT BMK BID YLD 10Y - RED. YIELD,RF SLOVAKIA GVT BMK BID YLD 10Y - RED. YIELD,RFV DEM 6M IRS 10Y - MIDDLE RATE,
11-04-2023,2.972,2.99,3.927,2.304,3.356,2.875,2.822,4.211,2.786,4.162,4.2,,0.549,3.488,2.67,3.181,3.254,3.634,2.952,
12-04-2023,3.019,3.039,4.001,2.36,3.405,2.934,2.875,4.247,2.813,4.211,4.2,,0.549,3.555,2.729,3.23,3.274,3.668,3.001,
13-04-2023,3.016,3.054,3.985,2.371,3.416,2.942,2.89,4.273,2.799,4.225,4.2,,0.549,3.583,2.746,3.247,3.308,3.695,3,
14-04-2023,3.087,3.112,3.985,2.431,3.472,3.009,2.943,4.273,2.864,4.286,4.2,,0.549,3.604,2.808,3.3,3.3,3.741,3.0285,
17-04-2023,3.121,3.152,3.985,2.48,3.51,3.072,2.979,4.273,2.88,4.323,4.2,,0.549,3.659,2.844,3.337,3.38,3.77,3.08,
18-04-2023,3.103,3.135,3.985,2.47,3.486,3.024,2.966,4.324,2.879,4.288,3.993,,0.549,3.677,2.817,3.319,3.411,3.771,3.092,
19-04-2023,3.143,3.177,4.136,2.504,3.535,3.093,3.008,4.321,2.919,4.354,4.016,,0.549,3.7,2.861,3.364,3.41,3.815,3.139,
20-04-2023,3.096,3.125,4.113,2.444,3.486,3.02,2.956,4.323,2.865,4.315,4.004,,0.549,3.654,2.803,3.311,3.409,3.771,3.094,
21-04-2023,3.138,3.168,4.124,2.486,3.525,3.057,2.995,4.317,2.888,4.359,4.003,,0.549,3.674,2.856,3.332,3.402,3.847,3.119,
24-04-2023,3.138,3.169,4.121,2.49,3.526,3.071,3.057,4.279,2.917,4.363,4.001,,0.549,3.655,2.849,3.335,3.408,3.823,3.149,
